54 (0.0465116)
29 (0.0465116)
30 (0.0465116)
33 (0.0465116)
38 (0.0465116)
40 (0.0465116)
41 (0.0465116)
43 (0.0465116)
44 (0.0465116)
53 (0.0465116)
34 (0.0465116)
60 (0.0465116)
68 (0.0465116)
69 (0.0465116)
70 (0.0465116)
71 (0.0465116)
74 (0.0465116)
75 (0.0465116)
80 (0.0465116)
110 (0.0465116)
3 (0.0465116)
8 (0.0465116)
9 (0.0465116)
12 (0.0465116)
14 (0.0465116)
21 (0.0465116)
24 (0.0465116)
47 (0.0697674)
66 (0.0697674)
57 (0.0697674)
51 (0.0697674)
49 (0.0697674)
48 (0.0697674)
22 (0.0697674)
81 (0.0697674)
39 (0.0697674)
93 (0.0697674)
23 (0.0697674)
32 (0.0697674)
4 (0.0930233)
56 (0.0930233)
27 (0.0930233)
61 (0.0930233)
26 (0.116279)
46 (0.116279)
35 (0.116279)
108 (0.116279)
5 (0.116279)
13 (0.116279)
31 (0.139535)
28 (0.162791)
18 (0.162791)
25 (0.186047)
15 (0.209302)
17 (0.209302)
20 (0.209302)
16 (0.232558)
2 (0.232558)
1 (0.302326)
10 (0.372093)
0 (0.930233)
54 35 (0.0465116)
54 31 (0.0465116)
54 1 (0.0465116)
54 0 (0.0465116)
29 30 (0.0465116)
29 24 (0.0465116)
29 22 (0.0465116)
29 26 (0.0465116)
29 31 (0.0465116)
29 28 (0.0465116)
29 25 (0.0465116)
29 16 (0.0465116)
29 10 (0.0465116)
29 0 (0.0465116)
30 24 (0.0465116)
30 22 (0.0465116)
30 26 (0.0465116)
30 31 (0.0465116)
30 28 (0.0465116)
30 25 (0.0465116)
30 16 (0.0465116)
30 10 (0.0465116)
30 0 (0.0465116)
33 47 (0.0465116)
33 35 (0.0465116)
33 31 (0.0465116)
33 0 (0.0465116)
38 46 (0.0465116)
38 10 (0.0465116)
38 0 (0.0465116)
40 0 (0.0465116)
41 43 (0.0465116)
41 34 (0.0465116)
41 49 (0.0465116)
41 22 (0.0465116)
41 39 (0.0465116)
41 32 (0.0465116)
41 26 (0.0465116)
41 46 (0.0465116)
41 35 (0.0465116)
41 31 (0.0465116)
41 28 (0.0465116)
41 25 (0.0465116)
41 16 (0.0465116)
41 10 (0.0465116)
41 0 (0.0465116)
43 34 (0.0465116)
43 49 (0.0465116)
43 22 (0.0465116)
43 39 (0.0465116)
43 32 (0.0465116)
43 26 (0.0465116)
43 46 (0.0465116)
43 35 (0.0465116)
43 31 (0.0465116)
43 28 (0.0465116)
43 25 (0.0465116)
43 16 (0.0465116)
43 10 (0.0465116)
43 0 (0.0465116)
44 27 (0.0465116)
44 25 (0.0465116)
44 0 (0.0465116)
53 28 (0.0465116)
53 0 (0.0465116)
34 49 (0.0465116)
34 22 (0.0465116)
34 39 (0.0465116)
34 32 (0.0465116)
34 26 (0.0465116)
34 46 (0.0465116)
34 35 (0.0465116)
34 31 (0.0465116)
34 28 (0.0465116)
34 25 (0.0465116)
34 16 (0.0465116)
34 10 (0.0465116)
34 0 (0.0465116)
60 0 (0.0465116)
68 0 (0.0465116)
69 1 (0.0465116)
69 0 (0.0465116)
70 71 (0.0465116)
70 0 (0.0465116)
71 0 (0.0465116)
74 0 (0.0465116)
75 0 (0.0465116)
80 10 (0.0465116)
80 0 (0.0465116)
110 0 (0.0465116)
3 0 (0.0465116)
9 2 (0.0465116)
12 0 (0.0465116)
14 15 (0.0465116)
14 17 (0.0465116)
14 20 (0.0465116)
14 10 (0.0465116)
14 0 (0.0465116)
21 22 (0.0465116)
21 23 (0.0465116)
21 27 (0.0465116)
21 26 (0.0465116)
21 31 (0.0465116)
21 28 (0.0465116)
21 25 (0.0465116)
21 16 (0.0465116)
21 10 (0.0465116)
21 0 (0.0465116)
24 22 (0.0465116)
24 26 (0.0465116)
24 31 (0.0465116)
24 28 (0.0465116)
24 25 (0.0465116)
24 16 (0.0465116)
24 10 (0.0465116)
24 0 (0.0465116)
47 49 (0.0465116)
47 35 (0.0465116)
47 31 (0.0465116)
47 25 (0.0465116)
47 16 (0.0465116)
47 1 (0.0465116)
47 0 (0.0697674)
66 18 (0.0465116)
66 15 (0.0465116)
66 17 (0.0465116)
66 20 (0.0465116)
66 1 (0.0465116)
57 26 (0.0465116)
57 46 (0.0697674)
57 35 (0.0465116)
57 31 (0.0465116)
57 1 (0.0465116)
57 10 (0.0465116)
57 0 (0.0697674)
51 16 (0.0465116)
51 2 (0.0465116)
51 10 (0.0697674)
51 0 (0.0697674)
49 22 (0.0465116)
49 39 (0.0465116)
49 32 (0.0465116)
49 26 (0.0465116)
49 46 (0.0465116)
49 35 (0.0465116)
49 31 (0.0465116)
49 28 (0.0465116)
49 25 (0.0697674)
49 16 (0.0697674)
49 1 (0.0465116)
49 10 (0.0465116)
49 0 (0.0697674)
48 28 (0.0465116)
48 16 (0.0465116)
48 2 (0.0465116)
48 0 (0.0697674)
22 39 (0.0465116)
22 23 (0.0465116)
22 32 (0.0465116)
22 27 (0.0465116)
22 26 (0.0697674)
22 46 (0.0465116)
22 35 (0.0465116)
22 31 (0.0697674)
22 28 (0.0697674)
22 25 (0.0697674)
22 16 (0.0697674)
22 10 (0.0697674)
22 0 (0.0697674)
81 108 (0.0465116)
81 16 (0.0465116)
81 0 (0.0697674)
39 32 (0.0465116)
39 56 (0.0465116)
39 26 (0.0465116)
39 46 (0.0465116)
39 35 (0.0465116)
39 31 (0.0465116)
39 28 (0.0697674)
39 25 (0.0465116)
39 16 (0.0697674)
39 2 (0.0465116)
39 10 (0.0465116)
39 0 (0.0697674)
93 61 (0.0465116)
93 0 (0.0697674)
23 27 (0.0465116)
23 26 (0.0697674)
23 46 (0.0465116)
23 35 (0.0465116)
23 31 (0.0697674)
23 28 (0.0465116)
23 25 (0.0465116)
23 16 (0.0465116)
23 10 (0.0697674)
23 0 (0.0697674)
32 26 (0.0465116)
32 46 (0.0465116)
32 35 (0.0465116)
32 31 (0.0465116)
32 28 (0.0465116)
32 25 (0.0465116)
32 16 (0.0465116)
32 10 (0.0697674)
32 0 (0.0697674)
4 61 (0.0465116)
4 26 (0.0465116)
4 35 (0.0465116)
4 5 (0.0465116)
4 31 (0.0465116)
4 25 (0.0697674)
4 16 (0.0465116)
4 0 (0.0930233)
56 28 (0.0697674)
56 16 (0.0465116)
56 2 (0.0697674)
56 10 (0.0465116)
56 0 (0.0930233)
27 26 (0.0465116)
27 5 (0.0465116)
27 31 (0.0465116)
27 28 (0.0465116)
27 25 (0.0697674)
27 16 (0.0465116)
27 10 (0.0465116)
27 0 (0.0930233)
61 26 (0.0465116)
61 35 (0.0465116)
61 28 (0.0465116)
61 25 (0.0465116)
61 1 (0.0697674)
61 0 (0.0930233)
26 46 (0.0697674)
26 35 (0.0930233)
26 31 (0.0930233)
26 28 (0.0697674)
26 25 (0.0930233)
26 16 (0.0697674)
26 10 (0.0930233)
26 0 (0.116279)
46 35 (0.0697674)
46 31 (0.0697674)
46 28 (0.0465116)
46 25 (0.0465116)
46 15 (0.0465116)
46 17 (0.0465116)
46 20 (0.0465116)
46 16 (0.0465116)
46 2 (0.0465116)
46 1 (0.0465116)
46 10 (0.0930233)
46 0 (0.116279)
35 31 (0.0930233)
35 28 (0.0465116)
35 25 (0.0697674)
35 16 (0.0465116)
35 1 (0.0465116)
35 10 (0.0697674)
35 0 (0.116279)
108 5 (0.0465116)
108 28 (0.0465116)
108 25 (0.0465116)
108 15 (0.0465116)
108 17 (0.0465116)
108 20 (0.0465116)
108 16 (0.0697674)
108 2 (0.0465116)
108 0 (0.116279)
5 25 (0.0465116)
5 0 (0.116279)
13 18 (0.116279)
13 15 (0.116279)
13 17 (0.116279)
13 20 (0.116279)
13 1 (0.0465116)
13 10 (0.0697674)
13 0 (0.0930233)
31 28 (0.0697674)
31 25 (0.0930233)
31 16 (0.0930233)
